一下	yi xx
辨析	bm xi
辨证	bm vg
辨识	bm ui
辩护人	bm hu rf
辩解	bm jp
辩证法	bm vg fa
边区	bm qu
边城	bm ig
边寨	bm vd
边民	bm mb
边界	bm jp
边界线	bm jp xm
边线	bm xm
边角料	bm jn ln
边远	bm yr
边际	bm ji
辽宁省	ln nk ug
辽远	ln yr
达卡	da ka
达卡	da qx
达观	da gr
迁册	qm ce
迁徙	qm xi
迂缓	yu hr
迅驰	xy ii
过五关	go wu gr
过人	go rf
过冬	go ds
过冷河	go lg he
过埠新娘	go bu xb nl
过境	go jk
过大	go da
过失	go ui
过底纸	go di vi
过往	go wh
过得硬	go de yk
过快	go kk
过敏	go mb
过时	go ui
过时黄花	go ui hl hx
过来人	go ld rf
过激	go ji
过火	go ho
过眼烟云	go yj yj yy
过硬	go yk
过秤	go ig
过细	go xi
过街老鼠	go jp lc uu
过路	go lu
过路人	go lu rf
过道	go dc
过钟	go vs
过长	go ih
过长	go vh
过骨	go gu
过龙	go ls
迈克	md ke
迈克尔	md ke er
迈拓	md ta
迈拓	md to
迈进	md jb
迍邅	vy vj
迎击	yk ji
迎头赶上	yk tz gj uh
迎宾曲	yk bb qu
迎宾馆	yk bb gr
迎送	yk ss
迎风招展	yk fg vc vj
运到	yy dc
运力	yy li
运动员	yy ds yr
运动场	yy ds ih
运动战	yy ds vj
运动衣	yy ds yi
运动量	yy ds ll
运动队	yy ds dv
运动鞋	yy ds xp
运城	yy ig
运斤成风	yy jb ig fg
运筹帷幄	yy iz ww wo
运营商	yy yk uh
运输机	yy uu ji
运输线	yy uu xm
运输费	yy uu fw
运销	yy xn
近些年	jb xp nm
近代史	jb dd ui
近住	jb vu
近在眉睫	jb zd mw jp
近处	jb iu
近年	jb nm
近日	jb ri
近来	jb ld
近海	jb hd
近程	jb ig
近视眼	jb ui yj
返乡	fj xl
返修	fj xq
返屋企	fj wu qi
返销	fj xn
返销粮	fj xn ll
返青	fj qk
还乡	hd xl
还乡	hr xl
还应	hd yk
还应	hr yk
还愿	hr yr
还手	hr uz
还清	hr qk
还神	hd uf
还神	hr uf
还须	hd xu
还须	hr xu
这一下	ve yi xx
这一来	ve yi ld
这就是说	ve jq ui uo
进一步	jb yi bu
进京	jb jk
进出口	jb iu kz
进化论	jb hx ly
进发	jb fa
进取	jb qu
进口税	jb kz uv
进口货	jb kz ho
进城	jb ig
进士	jb ui
进犯	jb fj
进行曲	jb xk qu
进言	jb yj
进贡	jb gs
进逼	jb bi
进项	jb xl
进食	jb ui
远亲近邻	yr qb jb lb
远亲近邻	yr qk jb lb
远古	yr gu
远望	yr wh
远洋	yr yh
远涉重洋	yr ue is yh
远游	yr yz
远离	yr li
远行	yr xk
远见	yr jm
远远	yr yr
远销	yr xn
违例	ww li
违宪	ww xm
违犯	ww fj
违禁品	ww jb pb
违纪	ww ji
违者	ww ve
连云港	lm yy gh
连任	lm rf
连作	lm zo
连同	lm ts
连埋	lm md
连埋	lm mj
连环	lm hr
连环画	lm hr hx
连用	lm ys
连续不断	lm xu bu dr
连绵	lm mm
连衣裙	lm yi qy
连轴转	lm vz vr
连连	lm lm
连通	lm ts
连部	lm bu
连锁反应	lm so fj yk
连队	lm dv
连阴雨	lm yb yu
迢递	tn di
迤逦	yi li
迥然不同	js rj bu ts
迪斯尼	di si ni
迪斯科	di si ke
迫击炮	pd ji pc
迫纽	pd nq
迫纽	po nq
迭埋心水	dp md xb uv
迭埋心水	dp mj xb uv
迭起	dp qi
述职	uu vi
述评	uu pk
迷彩服	mi cd fu
迷漫	mi mj
追击	vv ji
追悼会	vv dc hv
追肥	vv fw
追记	vv ji
追述	vv uu
退休金	tv xq jb
退位	tv ww
退守	tv uz
退居	tv ju
退换	tv hr
送人情	ss rf qk
适中	ui vs
适于	ui yu
适宜	ui yi
适应性	ui yk xk
适应症	ui yk vg
适时	ui ui
适用	ui ys
适用性	ui ys xk
适配	ui pw
适销	ui xn
适龄	ui lk
选举权	xr ju qr
选修课	xr xq ke
选区	xr qu
选择题	xr ze ti
选曲	xr qu
选本	xr bf
选段	xr dr
选矿	xr kl
选种	xr vs
选聘	xr pb
选育	xr yu
选读	xr du
选调	xr dn
选集	xr ji
逊志时敏	xy vi ui mb
透火	tz ho
透镜	tz jk
逐一	vu yi
逐个	vu ge
逐级	vu ji
递补	di bu
途经	tu jk
通例	ts li
通信员	ts xb yr
通史	ts ui
通商	ts uh
通明	ts mk
通晓	ts xn
通栏	ts lj
通气	ts qi
通渠	ts qu
通用性	ts ys xk
通畅	ts ih
通称	ts ig
通统	ts ts
通缉	ts ji
通航	ts hh
通衢	ts qu
通观	ts gr
通讯员	ts xy yr
通讯网	ts xy wh
通译	ts yi
通货	ts ho
通路	ts lu
通辽	ts ln
通通	ts ts
通邮	ts yz
通顶	ts dk
逝世	ui ui
逞凶	ig xs
速射	su ue
速成	su ig
速滑	su hx
速龙	su ls
造反	zc fj
造就	zc jq
造影	zc yk
造物主	zc wu vu
造纸厂	zc vi ih
造诣	zc yi
逡巡	qy xy
逢人说项	fg rf uo xl
逢人说项	fg rf uv xl
逢人说项	fg rf yt xl
逢年过节	fg nm go jp
逢系	fg ji
逢系	fg xi
逶迤	ww yi
逶随	ww sv
逸事	yi ui
逸闻	yi wf
逼人	bi rf
逼和	bi he
逼近	bi jb
逾期	yu qi
逾越	yu yt
遁词	dy ci
遇刺	yu ci
遇险	yu xm
遍及	bm ji
遍地	bm di
遏力	ee li
遏止	ee vi
道人	dc rf
道光	dc gl
道口	dc kz
道士	dc ui
道家	dc jx
道岔	dc ia
道班	dc bj
道琼斯	dc qs si
道道	dc dc
遗书	yi uu
遗传学	yi ir xt
遗传性	yi ir xk
遗体	yi ti
遗作	yi zo
遗像	yi xl
遗址	yi vi
遗失	yi ui
遗孤	yi gu
遗容	yi rs
遗弃	yi qi
遗志	yi vi
遗愿	yi yr
遗物	yi wu
遗训	yi xy
遗迹	yi ji
遗风	yi fg
遥感	yc gj
遥遥	yc yc
遭遇战	zc yu vj
遮羞布	ve xq bu
遮阳	ve yh
避孕药	bi yy yc
避实击虚	bi ui ji xu
避实就虚	bi ui jq xu
避暑	bi uu
避雷针	bi lw vf
避风塘	bi fg th
避风港	bi fg gh
邀集	yc ji
邅迴	vj hv
邓小平	dg xn pk
邓选	dg xr
邢台	xk td
那时快	na ui kk
那是	na ui
邪气	xp qi
邪说	xp uo
邪路	xp lu
邮展	yz vj
邮政局	yz vg ju
邮电	yz dm
邮电局	yz dm ju
邮筒	yz ts
邮编	yz bm
邮袋	yz dd
邮资	yz zi
邮路	yz lu
邮车	yz ie
邮递员	yz di yr
邻县	lb xm
邻近	lb jb
邻里	lb li
郁渥	yu wo
郊游	jn yz
郑州市	vg vz ui
部下	bu xx
部优	bu yz
部委	bu ww
部属	bu uu
部族	bu zu
部类	bu lw
部级	bu ji
郭沫若	go mo ro
都城	du ig
鄂西	ee xi
鄂豫皖	ee yu wj
鄙夷	bi yi
鄙薄	bi bo
鄙陋	bi lz
鄢郢	yj yk
酋长国	qq vh go
酌醴	vo li
配制	pw vi
酒会	jq hv
酒米	jq mi
酒精	jq jk
酒菜	jq cd
酒饼	jq bk
酣睡	hj uv
酥油	su yz
酥油茶	su yz ia
酥虾	su xx
酩酊	mk dk
酬金	iz jb
酴醾	tu mi
酸微微	sr ww ww
酸枝	sr vi
醉酒佬	zv jq lc
醍醐	ti hu
醒定	xk dk
醒目仔	xk mu zd
醒目仔	xk mu zi
醒胃	xk ww
采伐	cd fa
采掘	cd jt
采石	cd ui
采购员	cd gz yr
采风	cd fg
释义	ui yi
释文	ui wf
释疑	ui yi
里便	li bm
里便	li pm
里勾外连	li gz wd lm
里外	li wd
里手	li uz
里程	li ig
里程碑	li ig bw
里里外外	li li wd wd
里长	li ih
里长	li vh
重任	vs rf
重兵	vs bk
重利	vs li
重剑	vs jm
重印	is yb
重在	is zd
重在	vs zd
重地	vs di
重型	vs xk
重奖	vs jl
重工业	vs gs ye
重心	vs xb
重案组	is an zu
重案组	vs an zu
重武器	vs wu qi
重油	vs yz
重洋	is yh
重炮	vs pc
重物	vs wu
重秤	is ig
重秤	vs ig
重重叠叠	is is dp dp
重金属	vs jb uu
野史	ye ui
野战军	ye vj jy
野猪	ye vu
野茫茫	ye mh mh
野鸡	ye ji
量刑	ll xk
量力	ll li
量变	ll bm
金不换	jb bu hr
金丝猴	jb si hz
金价	jb jp
金价	jb jx
金光灿烂	jb gl cj lj
金光闪闪	jb gl uj uj
金刚石	jb gh ui
金华	jb hx
金发	jb fa
金咭	jb ji
金咭	jb ka
金庸	jb ys
金捞	jb lc
金文	jb wf
金星	jb xk
金桂飘香	jb gv pn xl
金沙	jb ua
金灿灿	jb cj cj
金盘洗手	jb pj xi uz
金石	jb ui
金矿	jb kl
金秋	jb qq
金笔	jb bi
金箔	jb bo
金花	jb hx
金蚕脱壳	jb cj to ke
金蚕脱壳	jb cj to qn
金质	jb vi
金门	jb mf
金陵	jb lk
金鱼佬	jb yu lc
金鸡	jb ji
鉴定会	jm dk hv
鉴戒	jm jp
鉴赏力	jm uh li
鎅刀	gd dc
针冇两头利	vf mc ll tz li
针剂	vf ji
针头	vf tz
针头线脑	vf tz xm nc
针对性	vf dv xk
针眼	vf yj
针线	vf xm
针织	vf vi
针织品	vf vi pb
钉盖	dk gd
钟声	vs ug
钟数	vs uu
钟点	vs dm
钟点女佣	vs dm nv ys
钢丝绳	gh si ug
钢厂	gh ih
钢材	gh cd
钢枪	gh ql
钢渣	gh va
钢笔	gh bi
钢筋铁骨	gh jb tp gu
钢花	gh hx
钦差大臣	qb id da if
钱七	qm qi
钱学森	qm xt sf
钱币	qm bi
钱庄	qm vl
钱罂	qm yk
钳制	qm vi
钳子	qm zi
钳工	qm gs
钵仔糕	bo zd gc
钵仔糕	bo zi gc
钵酒	bo jq
钻井队	zr jk dv
钻塔	zr ta
钻机	zr ji
钻石王老五	zr dj wh lc wu
钻石王老五	zr ui wh lc wu
钻空子	zr ks zi
铁丝网	tp si wh
铁中铮铮	tp vs vg vg
铁合金	tp he jb
铁心	tp xb
铁杵成针	tp iu ig vf
铁树开花	tp uu kd hx
铁桥	tp qn
铁水	tp uv
铁流	tp lq
铁矿石	tp kl dj
铁矿石	tp kl ui
铁索桥	tp so qn
铁路局	tp lu ju
铁路桥	tp lu qn
铁通	tp ts
铁道兵	tp dc bk
铁锨	tp xm
铁面御史	tp mm yu ui
铁骑	tp qi
铁骑士	tp qi ui
铅印	qm yb
铅字	qm zi
铅球	qm qq
铎叔	do uu
铓锣	mh lo
铜像	ts xl
铜器	ts qi
铜头铁额	ts tz tp ee
铜板	ts bj
铜管乐	ts gr le
铜管乐	ts gr yt
铜陵	ts lk
铠甲	kd jx
铭文	mk wf
铮铮	vg vg
铮铮铁骨	vg vg tp gu
铰剪	jn jm
铲泥车	ij ni ie
铲泥车	ij ni ju
铲车	ij ie
铲除	ij iu
铴锣	th lo
银仔	yb zd
银仔	yb zi
银元	yb yr
银发	yb fa
银团	yb tr
银奖	yb jl
银币	yb bi
银河系	yb he xi
银灰色	yb hv se
银芽	yb ya
银行业	yb hh ye
银行家	yb hh jx
银质奖	yb vi jl
铸件	vu jm
铸成	vu ig
铸成大错	vu ig da co
铺路石	pu lu ui
铺轨	pu gv
链冚	lm kj
链子	lm zi
链球菌	lm qq jy
销价	xn jx
销假	xn jx
销售一空	xn uz yi ks
销售额	xn uz ee
销货	xn ho
销路	xn lu
销铄	xn uo
锄大弟	iu da di
锄大弟	iu dd di
锄头	iu tz
锈蚀	xq ui
锌盆	xb pf
锒铛	lh dh
错事	co ui
错失	co ui
锟铻	ky wu
锡伯族	xi bo zu
锣鼓喧天	lo gu xr tm
锥处囊中	vv iu nh vs
锥形	vv xk
锦州	jb vz
锦旗	jb qi
锦标赛	jb bn sd
锦绣	jb xq
锦绣前程	jb xq qm ig
锦绣山河荒山野地	jb xq uj he hl uj ye de
锦绣山河荒山野地	jb xq uj he hl uj ye di
锦西	jb xi
锭子	dk zi
键入	jm ru
锯扒	ju ba
锯扒	ju pa
锻压	dr ya
镆铘	mo ye
镇痛	vf ts
镇纸	vf vi
镐头	gc tz
镜像	jk xl
镜框	jk kl
镬气	ho qi
长一智	vh yi vi
长假	ih jx
长剑	ih jm
长势	vh ui
长叹	ih tj
长官	vh gr
长年	ih nm
长成	vh ig
长拉拉	ih la la
长拉拉	vh la la
长方形	ih fh xk
长明灯	ih mk dg
长春市	ih iy ui
长春市	vh iy ui
长椅	ih yi
长沙市	ih ua ui
长沙市	vh ua ui
长河	ih he
长法	ih fa
长焦	ih jn
长焦	vh jn
长白山	ih bd uj
长眠	ih mm
长矛	ih mc
长短周	ih dr vz
长短周	vh dr vz
长笛	ih di
长衫	ih uj
长袍	ih pc
长话	ih hx
长长	ih ih
长长	ih vh
长长	vh ih
长长	vh vh
閪狗	hw gz
门口狗	mf kz gz
门外汉	mf wd hj
门将	mf jl
门市部	mf ui bu
门框	mf kl
门牌	mf pd
门联	mf lm
门脸	mf lm
门钟	mf vs
闪光灯	uj gl dg
闪动	uj ds
闪失	uj ui
闪存	uj cy
闪盘	uj pj
闪闪烁烁	uj uj uo uo
闭会	bi hv
闭幕式	bi mu ui
闭幕词	bi mu ci
闭目塞听	bi mu se tk
闭翳	bi yi
闭邪存诚	bi xp cy ig
闭邪存诚	bi ye cy ig
闭门羹	bi mf gg
问及	wf ji
问吊	wf dn
问好	wf hc
问讯	wf xy
问询	wf xy
问鼎	wf dk
闯劲	il jb
闲事	xm ui
闲科	xm ke
闲置	xm vi
闲话	xm hx
闲闲地	xm xm de
闲闲地	xm xm di
间不容发	jm bu rs fa
间作	jm zo
间断	jm dr
间架	jm jx
间距	jm ju
间隙	jm xi
闶阆	kh lh
闷气	mf qi
闸住	va vu
闹交	nc jn
闹市	nc ui
闹市区	nc ui qu
闻名	wf mk
阀阅	fa yt
阁仔	ge zd
阁仔	ge zi
阅世	yt ui
阅兵	yt bk
阅兵式	yt bk ui
阅览室	yt lj ui
阉割	yj ge
阊阖	ih he
阑尾炎	lj ww yj
阑干	lj gj
阒砾缂嘞	qu li ke le
阒砾缂嘞	qu li ke lw
阔佬懒理	ko lc lj li
阔咧啡	ko lp fw
阖府统请	he fu ts qk
阜新	fu xb
阜阳	fu yh
队旗	dv qi
队目	dv mu
队部	dv bu
队长	dv ih
队长	dv vh
阢陧	wu np
阢陧	ww np
防冻	fh ds
防务	fh wu
防化	fh hx
防化兵	fh hx bk
防卫	fh ww
防意如城	fh yi ru ig
防护林	fh hu lb
防旱	fh hj
防汛	fh xy
防治	fh vi
防波堤	fh bo di
防灾	fh zd
防盗	fh dc
防空洞	fh ks ds
防腐	fh fu
防腐剂	fh fu ji
防长	fh ih
防长	fh vh
防震	fh vf
防风林	fh fg lb
阳萎	yh ww
阴云	yb yy
阴凉	yb ll
阴声细气	yb ug xi qi
阴性	yb xk
阴道	yb dc
阴雨连绵	yb yu lm mm
阵势	vf ui
阵地战	vf di vj
阶下囚	jp xx qq
阶梯	jp ti
阶砖	jp vr
阶级性	jp ji xk
阶级斗争	jp ji dz vg
阻击	zu ji
阻击战	zu ji vj
阻头阻势	zu tz zu ui
阻截	zu jp
阻滞	zu vi
阿嫲	aa ma
阿嫲	ee ma
阿尔卑斯	aa er bw si
阿尔卑斯	ee er bw si
阿尔卡特	aa er ka te
阿尔卡特	aa er qx te
阿尔卡特	ee er ka te
阿尔卡特	ee er qx te
阿差	aa ci
阿差	aa ia
阿差	aa id
阿差	ee ci
阿差	ee ia
阿差	ee id
阿拉斯加	aa la si jx
阿拉斯加	ee la si jx
阿支阿左	aa vi aa zo
阿支阿左	aa vi ee zo
阿支阿左	ee vi aa zo
阿支阿左	ee vi ee zo
阿灿	aa cj
阿灿	ee cj
阿猪阿狗	aa vu aa gz
阿猪阿狗	aa vu ee gz
阿猪阿狗	ee vu aa gz
阿猪阿狗	ee vu ee gz
阿盟	aa mg
阿茂	aa mc
阿茂	ee mc
阿茂整饼	aa mc vg bk
阿茂整饼	ee mc vg bk
阿里	aa li
阿里	ee li
阿里巴巴	aa li ba ba
阿里巴巴	ee li ba ba
陀螺	to lo
陂陀	po to
附中	fu vs
附件	fu jm
附则	fu ze
附加税	fu jx uv
附和	fu he
附小	fu xn
附属物	fu uu wu
附庸	fu ys
附录	fu lu
附有	fu yz
附注	fu vu
附着物	fu vo wu
附言	fu yj
附设	fu ue
际遇	ji yu
陆上	lu uh
陆军装	lq jy vl
陆军装	lu jy vl
陆战队	lu vj dv
陆海空	lu hd ks
陆游	lq yz
陆游	lu yz
陆空	lq ks
陆空	lu ks
陆荣廷睇相唔衰罗嚟衰	lq rs tk di xl wu uk lo li uk
陆荣廷睇相唔衰罗嚟衰	lq rs tk di xl wu uk lo lw uk
陆荣廷睇相唔衰罗嚟衰	lu rs tk di xl wu uk lo li uk
陆荣廷睇相唔衰罗嚟衰	lu rs tk di xl wu uk lo lw uk
陆陆续续	lq lq xu xu
陆陆续续	lq lu xu xu
陆陆续续	lu lq xu xu
陆陆续续	lu lu xu xu
陈腐	if fu
陈迹	if ji
陋室	lz ui
陌生人	mo ug rf
降水量	jl uv ll
降生	jl ug
降职	jl vi
降落伞	jl lo sj
降龙伏虎	xl ls fu hu
限价	xm jx
限期	xm qi
限止	xm vi
限量版	xm ll bj
陕甘宁	uj gj nk
陕西省	uj xi ug
院墙	yr ql
院士	yr ui
院子	yr zi
院方	yr fh
院校	yr xn
院系	yr ji
院系	yr xi
除去	iu qu
除名	iu mk
除咗	iu zo
除夕	iu xi
除息	iu xi
除此以外	iu ci yi wd
除法	iu fa
除笨有精	iu bf yz jk
除衫	iu uj
陨星	yy xk
险境	xm jk
险峰	xm fg
险恶	xm ee
险滩	xm tj
险胜	xm ug
险象	xm xl
险过剃头	xm go ti tz
险阻	xm zu
陪审员	pw uf yr
陵云之志	lk yy vi vi
陶器	tc qi
陶渊明	tc yr mk
陷于	xm yu
随员	sv yr
随得	sv de
随得	sv dw
随机性	sv ji xk
随风飘洒	sv fg pn sa
隐匿	yb ni
隐忧	yb yz
隐晦	yb hv
隐现	yb xm
隐约	yb yt
隐约可见	yb yt ke jm
隐讳	yb hv
隶书	li uu
隶变	li bm
难事	nj ui
难以忘怀	nj yi wh hk
难友	nj yz
难堪	nj kj
雄关	xs gr
雄师	xs ui
雄赳赳	xs jq jq
雄鸡	xs ji
雄鸡报晓	xs ji bc xn
雅加达	ya jx da
集中制	ji vs vi
集中营	ji vs yk
集会	ji hv
集体化	ji ti hx
集体舞	ji ti wu
集团军	ji tr jy
集大成	ji da ig
集子	ji zi
集市	ji ui
集成度	ji ig du
集成电路	ji ig dm lu
集散	ji sj
集权	ji qr
集约	ji yt
集结	ji jp
集聚	ji ju
集装箱	ji vl xl
集训队	ji xy dv
集资	ji zi
集邮	ji yz
集锦	ji jb
集镇	ji vf
雇佣	gu ys
雇佣军	gu ys jy
雇工	gu gs
雨具	yu ju
雨季	yu ji
雨影	yu yk
雨果	yu go
雨溦	yu ww
雨滴	yu di
雨花石	yu hx ui
雨衣	yu yi
雨褛	yu lv
雨露	yu lu
雪原	xt yr
雪夜	xt ye
雪屐	xt ji
雪峰	xt fg
雪水	xt uv
雪泥鸿爪	xt ni hs vc
雪糕批	xt gc pi
雪糕筒	xt gc ts
雪褛	xt lv
雪铁龙	xt tp ls
零乱	lk lr
零售商	lk uz uh
零售店	lk uz dm
零售额	lk uz ee
零头	lk tz
零打碎敲	lk da sv qn
零时	lk ui
零星落索	lk xk la so
零星落索	lk xk lc so
零星落索	lk xk lo so
零舍	lk ue
零花钱	lk hx qm
零部件	lk bu jm
零配件	lk pw jm
雷击	lw ji
雷声大	lw ug da
雷曼	lw mj
雷电交加	lw dm jn jx
雷电大作	lw dm da zo
雷电大作	lw dm dd zo
雷达站	lw da vj
雷阵雨	lw vf yu
雾气	wu qi
需求量	xu qq ll
震中	vf vs
震天	vf tm
震天动地	vf tm ds di
震情	vf qk
震级	vf ji
霉变	mw bm
霉菌	mw jy
霉菜	mw cd
霎时	ua ui
霎气	ua qi
霏凡	fw fj
霏霏	fw fw
霜期	ul qi
露天矿	lu tm kl
露械	lu xp
露械	lz xp
霸位	ba ww
霸权主义	ba qr vu yi
霸王别姬	ba wh bp ji
青丝	qk si
青云	qk yy
青云直上	qk yy vi uh
青光眼	qk gl yj
青史	qk ui
青壮年	qk vl nm
青天	qk tm
青少年	qk uc nm
青山绿水	qk uj lv uv
青工	qk gs
青年人	qk nm rf
青年团	qk nm tr
青年宫	qk nm gs
青悲悲	qk bw bw
青春期	qk iy qi
青松	qk ss
青海湖	qk hd hu
青海省	qk hd ug
青灰	qk hv
青石	qk ui
青稞	qk ke
青翠	qk cv
青翠欲滴	qk cv yu di
青联	qk lm
青色	qk se
青苗	qk mn
青草	qk cc
青衣	qk yi
青霉素	qk mw su
青青	qk qk
青靓白净	qk jk bd jk
青靓白净	qk ll bd jk
青面獠牙	qk mm ln ya
靓爆镜	jk bc jk
靓爆镜	ll bc jk
静寂	jk ji
静思默想	jk si mo xl
静悄悄	jk qn qn
静止	jk vi
静物	jk wu
静电	jk dm
静穆	jk mu
静英英	jk yk yk
静静乐道	jk jk le dc
静静乐道	jk jk yt dc
静鸡鸡	jk ji ji
非人	fw rf
非典	fw dm
非异人任	fw yi rf rf
非暴力	fw bc li
非正式	fw vg ui
非法所得	fw fa so de
非金属	fw jb uu
靠山吃山	kc uj ii uj
靠水吃水	kc uv ii uv
靠背	kc bw
面世	mm ui
面交	mm jn
面口	mm kz
面左左	mm zo zo
面懵心精	mm mg xb jk
面授	mm uz
面无人色	mm wu rf se
面珠墩	mm vu dy
面皮厚	mm pi hz
面目一新	mm mu yi xb
面筋	mm jb
面议	mm yi
面豉	mm ii
面青口唇白	mm qk kz iy bd
面青青	mm qk qk
面面观	mm mm gr
面食	mm ui
革命军	ge mk jy
革命化	ge mk hx
革命家	ge mk jx
革命者	ge mk ve
革委会	ge ww hv
革委会	ge ww kk
革故鼎新	ge gu dk xb
革除	ge iu
靶子	ba zi
靶机	ba ji
鞋子	xp zi
鞋带	xp dd
鞋抽	xp iz
鞋踭	xp vg
鞠躬尽瘁死而后已	ju gs jb cv si er hz yi
鞠躬尽瘁死而后已一代风流	ju gs jb cv si er hz yi yi dd fg lq
鞭子	bm zi
鞭辟入里	bm pi ru li
鞲鞴	gz bw
韧性	rf xk
韩元	hj yr
韩语	hj yu
音乐会	yb yt hv
音乐厅	yb yt tk
音乐家	yb yt jx
音乐界	yb yt jp
音乐课	yb le ke
音乐课	yb yt ke
音像	yb xl
音响	yb xl
音域	yb yu
音容笑貌	yb rs xn mc
音箱	yb xl
音色	yb se
音质	yb vi
音速	yb su
音阶	yb jp
音韵	yb yy
页码	ye ma
顶住	dk vu
顶你个肺	dk ni ge fw
顶唔顺	dk wu uy
顶档	dk dh
顶点	dk dm
顶牛	dk nq
顶硬上	dk yk uh
顶笼	dk ls
顶肚	dk du
顶趾	dk vi
顶颈	dk gg
顶颈	dk jk
顶风	dk fg
顷刻	qk ke
顷刻之间	qk ke vi jm
项羽	xl yu
顺义	uy yi
顺口溜	uy kz lq
顺延	uy yj
顺摊	uy tj
顺治	uy vi
须眉茭白	xu mw jn bd
顽固派	wj gu pd
顽症	wj vg
顾住	gu vu
顾全	gu qr
顾及	gu ji
顾忌	gu ji
预付款	yu fu kr
预制	yu vi
预制板	yu vi bj
预备役	yu bw yi
预备队	yu bw dv
预委会	yu ww hv
预委会	yu ww kk
预审	yu uf
预展	yu vj
预应力	yu yk li
预支	yu vi
预演	yu yj
预热	yu re
预示	yu ui
预科	yu ke
预置	yu vi
预见	yu jm
预见性	yu jm xk
预言	yu yj
预订	yu dk
预购	yu gz
颅骨	lu gu
领事	lk ui
领事馆	lk ui gr
领养	lk yh
领到	lk dc
领受	lk uz
领嘢	lk ye
领太	lk td
领袖生	lk xq ug
领路	lk lu
颇为	po ww
颈渴	gg ke
颈渴	jk ke
颈都长	gg du ih
颈都长	gg du vh
颈都长	gg dz ih
颈都长	gg dz vh
颈都长	jk du ih
颈都长	jk du vh
颈都长	jk dz ih
颈都长	jk dz vh
颈链	gg lm
颈链	jk lm
颉颃	xp hh
颐和园	yi he yr
频带	pb dd
频频扑扑	pb pb pu pu
颓势	tv ui
题写	ti xp
题名	ti mk
题字	ti zi
题诗	ti ui
题跋	ti ba
题辞	ti ci
颙颙	ys ys
颜体	yj ti
颜真卿	yj vf qk
额定	ee dk
颞颥	np ru
颟顸	mj hj
颠簸	dm bo
颠覆	dm fu
颤巍巍	ij ww ww
风云	fg yy
风云人物	fg yy rf wu
风云变幻	fg yy bm hr
风俗画	fg su hx
风凉水冷	fg ll uv lg
风势	fg ui
风化	fg hx
风口	fg kz
风吹日晒	fg iv ri ud
风声	fg ug
风头火势	fg tz ho ui
风头趸	fg tz dy
风姿	fg zi
风帆	fg fj
风扫落叶	fg sc la xp
风扫落叶	fg sc la ye
风扫落叶	fg sc lc xp
风扫落叶	fg sc lc ye
风扫落叶	fg sc lo xp
风扫落叶	fg sc lo ye
风景区	fg jk qu
风景如画	fg jk ru hx
风景画	fg jk hx
风机	fg ji
风水佬	fg uv lc
风沙	fg ua
风油轪	fg yz dd
风洞	fg ds
风湿病	fg ui bk
风箱	fg xl
风蚀	fg ui
风行	fg xk
风速	fg su
风雪交加	fg xt jn jx
风风火火	fg fg ho ho
风风雨雨	fg fg yu yu
风驰电掣	fg ii dm ie
风骨峭峻	fg gu qn jy
飒爽英姿	sa ul yk zi
飘浮	pn fu
飘渺	pn mn
飞发	fw fa
飞向	fw xl
飞士	fw ui
飞擒大咬	fw qb da yc
飞擒大咬	fw qb dd yc
飞机场	fw ji ih
飞机师	fw ji ui
飞机恤	fw ji xu
飞机票	fw ji pn
飞来蜢	fw ld mg
飞毛腿	fw mc tv
飞水	fw uv
飞站	fw vj
飞腾	fw tg
飞舞	fw wu
飞蛾扑火	fw ee pu ho
飞行器	fw xk qi
飞象过河	fw xl go he
飞越	fw yt
食不重味	si bu is ww
食不重味	si bu vs ww
食不重味	ui bu is ww
食不重味	ui bu vs ww
食不重味	yi bu is ww
食不重味	yi bu vs ww
食价	si jp
食价	si jx
食价	ui jp
食价	ui jx
食价	yi jp
食价	yi jx
食品	ui pb
食塞米	si sd mi
食塞米	si se mi
食塞米	ui sd mi
食塞米	ui se mi
食塞米	yi sd mi
食塞米	yi se mi
食客	ui ke
食宿	ui su
食得咸鱼抵得渴	si de xm yu di de ke
食得咸鱼抵得渴	si de xm yu di dw ke
食得咸鱼抵得渴	si dw xm yu di de ke
食得咸鱼抵得渴	si dw xm yu di dw ke
食得咸鱼抵得渴	ui de xm yu di de ke
食得咸鱼抵得渴	ui de xm yu di dw ke
食得咸鱼抵得渴	ui dw xm yu di de ke
食得咸鱼抵得渴	ui dw xm yu di dw ke
食得咸鱼抵得渴	yi de xm yu di de ke
食得咸鱼抵得渴	yi de xm yu di dw ke
食得咸鱼抵得渴	yi dw xm yu di de ke
食得咸鱼抵得渴	yi dw xm yu di dw ke
食拖鞋饭	si to xp fj
食拖鞋饭	ui to xp fj
食拖鞋饭	yi to xp fj
食晏	si yj
食晏	ui yj
食晏	yi yj
食柠檬	si nk mg
食柠檬	ui nk mg
食柠檬	yi nk mg
食死猫	si si mc
食死猫	ui si mc
食死猫	yi si mc
食水深	si uv uf
食水深	ui uv uf
食水深	yi uv uf
食油	ui yz
食物链	ui wu lm
食猫面	si mc mm
食猫面	ui mc mm
食猫面	yi mc mm
食生菜	si ug cd
食生菜	ui ug cd
食生菜	yi ug cd
食用	ui ys
食白果	si bd go
食白果	ui bd go
食白果	yi bd go
食皇家饭	si hl jx fj
食皇家饭	ui hl jx fj
食皇家饭	yi hl jx fj
